client_id,age,region,income,transaction_amount,channel,department,signup_date,is_active,score,legacy_flag,comment,client_type
100087,52.2,SPB,29808.37,24667.13,web,risk,2026-05-13,true,0.5073,0,,corporate
100088,42.1,OTHER_17,57965.19,1019.3,mobile,growth,2025-08-16,false,0.5709,0,повторное обращение,sme
100089,45.7,UNKNOWN,40621.94,3460.19,mobile,risk,2025-04-10,false,0.9873,0,клиент не отвечает,corporate
100090,35.1,MSK,,1248.55,web,growth,2025-12-26,true,0.4674,0,перевод в другой отдел,corporate
2448,57.2,SPB,,3872.48,partner,ops,2025-08-11,true,0.39,0,заявка принята,sme
100092,53.6,MSK,52926.9,13336.24,web,support,2024-08-17,false,0.6328,0,,sme
100093,57.1,UNKNOWN,72726.45,10477.01,mobile,sales,2026-01-14,false,0.7026,0,повторное обращение,sme
100094,20.4,UNKNOWN,44785.64,2260.08,mobile,ops,2024-11-12,false,0.4727,0,клиент не отвечает,corporate
100095,52.1,EKB,56648.46,1221.11,web,support,2026-03-16,false,0.3522,0,повторное обращение,corporate
100096,37.9,UNKNOWN,53529.08,6823.26,partner,ops,2026-01-31,false,0.3139,0,заявка принята,sme
100097,44.1,MSK,56747.5,32165.92,web,growth,2025-05-24,true,0.6822,0,заявка принята,retail
909,35.1,OTHER_17,47930.47,13990.84,web,growth,2026-03-22,true,0.5407,0,перевод в другой отдел,retail
100099,36.2,SPB,,13417.88,mobile,ml,2025-10-30,false,0.707,0,,sme
100100,49.2,OTHER_17,116325.63,10954.28,offline,legal,2026-02-01,true,0.4584,0,заявка принята,retail
100101,43.0,NSK,31006.2,18782.42,web,support,2024-10-23,false,0.6437,0,заявка принята,corporate
100102,26.8,MSK,49240.42,8636.27,offline,legal,2024-12-25,false,0.6648,0,,retail
100103,28.5,MSK,55123.27,5036.25,mobile,risk,2025-06-05,true,0.7182,0,заявка принята,sme
100104,53.4,MSK,61973.98,20812.14,partner,risk,2024-07-24,true,0.3964,0,,retail
2490,48.1,KZN,30449.61,8809.18,offline,ops,2024-10-03,true,0.6735,0,клиент не отвечает,retail
100106,8.0,MSK,16605.46,2781.3,web,ml,2025-02-20,false,0.5557,0,клиент не отвечает,sme
100107,49.2,NSK,56134.48,1011.94,partner,ops,2025-10-19,true,0.4155,0,повторное обращение,corporate
100108,22.9,MSK,131253.15,5543.16,web,ops,2025-03-25,false,0.7676,0,клиент не отвечает,retail
100109,55.3,SPB,24336.41,20777.72,web,risk,2026-01-29,false,0.4351,0,,corporate
100110,44.8,MSK,52599.75,5918.82,mobile,sales,2024-09-09,true,0.4641,0,перевод в другой отдел,sme
100111,54.0,KZN,,8760.37,web,ops,2024-11-28,false,0.5804,0,заявка принята,retail
3021,40.5,OTHER_17,53794.59,9239.23,web,risk,2026-01-29,true,0.6216,0,перевод в другой отдел,sme
100113,48.6,NSK,96900.54,1978.1,partner,legal,2025-01-05,true,0.3247,0,заявка принята,corporate
100114,56.8,KZN,59155.34,1117.0,web,sales,2025-01-10,false,0.344,0,документы на проверке,corporate
100115,38.1,MSK,,4911.25,web,support,2025-04-16,true,0.6173,0,перевод в другой отдел,sme
100116,51.8,SPB,92356.33,21070.81,web,ml,2026-06-03,true,0.2295,0,клиент не отвечает,retail
100117,23.5,SPB,58685.0,5482.29,partner,legal,2025-02-26,false,0.7602,0,клиент не отвечает,retail
100118,29.0,UNKNOWN,46691.24,19058.84,web,growth,2026-03-20,false,0.6159,0,,retail
544,56.9,UNKNOWN,61761.73,4993.96,mobile,ml,2025-10-14,false,0.6783,0,повторное обращение,retail
100120,48.2,OTHER_17,74525.9,5266.07,mobile,risk,2025-02-26,true,0.4425,0,заявка принята,retail
100121,66.9,MSK,27257.12,5230.87,mobile,ops,2024-07-21,true,0.3639,0,документы на проверке,retail
100122,47.8,MSK,96674.22,1772.53,mobile,risk,2024-11-16,true,0.3526,0,повторное обращение,retail
100123,17.6,KZN,81639.48,7918.0,offline,sales,2024-10-23,true,0.6189,0,перевод в другой отдел,corporate
100124,43.0,KZN,64111.38,31893.64,mobile,risk,2024-10-08,true,0.4149,0,клиент не отвечает,sme
100125,45.5,SPB,70669.87,24710.81,offline,legal,2025-08-04,true,0.1925,0,заявка принята,retail
2943,48.0,KZN,124185.55,11389.16,web,risk,2024-10-19,false,0.6183,0,заявка принята,retail
100127,47.8,MSK,33750.33,8857.26,partner,support,2026-05-11,false,0.2782,0,перевод в другой отдел,corporate
100128,23.8,SPB,50938.41,45654.36,mobile,ops,2025-04-18,false,0.2598,0,клиент не отвечает,corporate
100129,26.5,MSK,125879.56,6478.31,mobile,legal,2024-10-22,false,0.6682,0,клиент не отвечает,retail
100130,19.8,KZN,52050.03,16881.23,offline,sales,2025-09-26,false,0.5542,0,документы на проверке,corporate
100131,74.3,KZN,84486.63,13270.85,web,ops,2025-06-19,false,0.6481,0,,retail
100132,33.2,MSK,73778.49,9594.3,web,growth,2025-08-26,true,0.573,0,перевод в другой отдел,retail
2220,47.5,SPB,78274.68,18937.59,mobile,ml,2025-07-01,false,0.4682,0,клиент не отвечает,corporate
100134,31.3,EKB,76123.51,3844.77,web,risk,2025-09-29,false,0.525,0,перевод в другой отдел,retail
100135,44.2,UNKNOWN,65613.35,2176.58,web,legal,2025-06-24,false,0.5952,0,клиент не отвечает,sme
100136,34.6,SPB,45326.37,6301.59,web,ml,2026-06-03,false,0.4658,0,документы на проверке,retail
100137,25.8,UNKNOWN,77873.76,4610.07,mobile,sales,2026-03-20,false,0.7177,0,клиент не отвечает,sme
100138,55.5,MSK,46329.45,9925.49,partner,ops,2025-07-14,false,0.3791,0,,corporate
100139,55.5,UNKNOWN,94586.08,10829.55,web,support,2026-04-23,false,0.2941,0,заявка принята,sme
1941,50.3,MSK,29150.23,4544.82,partner,ml,2026-03-13,true,0.3596,0,клиент не отвечает,retail
100141,26.6,MSK,31303.65,6092.01,partner,ml,2025-10-28,false,0.7796,0,,sme
100142,32.1,NSK,65997.35,5299.49,web,growth,2026-03-31,true,0.6934,0,перевод в другой отдел,retail
100143,40.5,KZN,131447.32,9609.71,web,ops,2025-10-17,false,0.2648,0,,corporate
100144,40.9,OTHER_17,,22509.24,web,ops,2024-12-21,true,0.7395,0,документы на проверке,sme
100145,37.3,NSK,57383.08,6664.76,web,ml,2024-08-06,false,0.4638,0,,corporate
100146,38.1,UNKNOWN,18911.97,2136.76,mobile,growth,2025-11-13,false,0.4215,0,клиент не отвечает,corporate
1203,43.1,MSK,56540.74,8762.7,mobile,ml,2025-01-11,false,0.2426,0,повторное обращение,retail
100148,47.2,KZN,53968.11,3208.14,offline,ml,2025-09-09,true,0.6453,0,перевод в другой отдел,sme
100149,28.2,MSK,34608.45,9621.98,offline,growth,2026-01-09,true,0.1493,0,документы на проверке,corporate
100150,37.3,MSK,138931.86,8774.88,partner,risk,2026-03-03,false,0.7347,0,,sme
100151,37.7,SPB,,2806.58,web,sales,2024-10-13,false,0.657,0,клиент не отвечает,sme
100152,32.7,SPB,55794.47,35120.32,mobile,ml,2026-02-24,true,0.4784,0,документы на проверке,corporate
100153,48.6,OTHER_17,33903.52,4465.34,offline,growth,2024-12-26,true,0.2012,0,заявка принята,corporate
2608,66.6,SPB,48733.17,19227.6,web,support,2024-08-30,true,0.5077,0,перевод в другой отдел,retail
100155,40.4,SPB,61945.55,1751.45,mobile,legal,2025-01-31,false,0.5101,0,клиент не отвечает,corporate
100156,41.2,OTHER_17,28365.29,43106.55,web,ml,2026-01-21,false,0.6495,0,перевод в другой отдел,retail
100157,41.1,UNKNOWN,64284.77,9831.53,offline,risk,2024-07-19,false,0.5877,0,перевод в другой отдел,sme
100158,55.0,KZN,85104.39,25623.91,web,growth,2025-07-23,true,0.7357,0,клиент не отвечает,sme
100159,54.5,EKB,,3059.14,mobile,ml,2025-05-07,true,0.4714,0,документы на проверке,retail
100160,33.3,MSK,57673.42,19503.21,web,ml,2026-01-21,true,0.2242,0,заявка принята,sme
502,35.7,MSK,104882.15,27870.36,web,ops,2025-02-13,true,0.3921,0,клиент не отвечает,corporate
100162,45.6,MSK,,23668.83,web,ops,2025-06-16,false,0.5849,0,перевод в другой отдел,corporate
100163,26.5,NSK,30119.24,7934.66,mobile,growth,2024-10-09,true,0.2006,0,клиент не отвечает,sme
100164,24.5,UNKNOWN,89613.96,2148.9,mobile,growth,2025-09-12,true,0.4375,0,заявка принята,corporate
100165,35.1,KZN,29988.99,8231.47,web,sales,2025-05-27,true,0.2859,0,заявка принята,corporate
100166,50.5,SPB,72827.12,2630.29,web,sales,2025-02-17,false,0.3846,0,перевод в другой отдел,corporate
100167,57.4,OTHER_17,30098.92,10282.23,mobile,sales,2026-03-24,false,0.6347,0,повторное обращение,corporate
216,45.3,OTHER_17,71451.31,6655.71,web,sales,2025-06-09,true,0.9548,0,перевод в другой отдел,corporate
100169,37.3,NSK,86351.81,11282.17,offline,ml,2024-10-21,true,0.6717,0,документы на проверке,sme
100170,56.6,EKB,88430.25,7982.57,web,support,2025-01-21,false,0.4261,0,документы на проверке,retail
100171,26.1,SPB,47517.32,3632.53,web,ml,2024-12-28,false,0.5912,0,заявка принята,sme
100172,25.9,UNKNOWN,25473.12,16561.06,partner,ops,2026-02-09,false,0.1451,0,,retail
100173,39.5,NSK,,34446.09,web,sales,2026-05-08,true,0.2692,0,клиент не отвечает,sme
100174,29.0,KZN,146043.3,4346.7,web,sales,2025-11-30,true,0.7231,0,клиент не отвечает,sme
1924,52.5,UNKNOWN,,5145.01,web,support,2024-12-06,true,0.7677,0,заявка принята,sme
100176,45.3,NSK,55892.84,2724.74,mobile,risk,2026-05-22,true,0.6635,0,документы на проверке,sme
100177,44.9,EKB,30630.72,28601.25,mobile,growth,2025-10-28,false,0.6661,0,,corporate
100178,31.5,OTHER_17,12243.82,6551.12,web,risk,2024-11-30,false,0.3489,0,клиент не отвечает,sme
100179,49.0,SPB,,3848.9,mobile,legal,2026-06-17,false,0.6393,0,документы на проверке,sme
100180,39.5,OTHER_17,75733.5,5727.03,partner,legal,2025-02-13,true,0.4288,0,повторное обращение,retail
100181,48.5,UNKNOWN,56636.24,12133.6,offline,risk,2025-05-14,true,0.2936,0,документы на проверке,corporate
2421,46.2,NSK,22652.61,6070.81,web,sales,2025-04-24,false,0.9208,0,документы на проверке,sme
100183,46.2,KZN,107670.41,9589.34,mobile,ops,2026-01-21,true,0.6267,0,,sme
100184,60.2,SPB,46604.02,4599.66,web,support,2025-03-29,false,0.4636,0,перевод в другой отдел,corporate
100185,39.0,OTHER_17,96999.39,13299.83,offline,risk,2025-02-14,false,0.0893,0,клиент не отвечает,corporate
100186,58.2,SPB,67747.88,12733.55,web,sales,2024-10-15,true,0.7455,0,клиент не отвечает,retail
100187,27.6,SPB,72788.36,3890.97,web,growth,2026-01-14,true,0.6343,0,повторное обращение,retail
100188,48.3,SPB,53606.8,4368.58,web,ml,2024-09-04,false,0.6861,0,документы на проверке,corporate
2913,60.2,MSK,60772.46,6712.16,web,ops,2025-04-02,true,0.316,0,клиент не отвечает,corporate
100190,42.8,OTHER_17,27141.83,6734.19,mobile,sales,2024-08-06,true,0.603,0,документы на проверке,sme
100191,64.8,MSK,,8785.77,web,growth,2025-08-22,false,0.6264,0,повторное обращение,corporate
100192,25.8,MSK,51418.49,686.67,web,risk,2026-03-24,false,0.2482,0,повторное обращение,retail
100193,52.9,UNKNOWN,78983.85,2557.93,mobile,support,2025-10-26,false,0.4067,0,перевод в другой отдел,corporate
100194,42.2,KZN,,2985.99,web,support,2026-06-03,false,0.4348,0,,corporate
100195,29.8,SPB,,6470.32,offline,sales,2024-10-28,false,0.5898,0,перевод в другой отдел,corporate
1036,49.5,EKB,112074.07,37914.94,web,legal,2025-09-04,true,0.5518,0,повторное обращение,retail
100197,36.2,UNKNOWN,108475.92,4021.73,mobile,growth,2026-01-03,false,0.7794,0,документы на проверке,corporate
100198,55.8,UNKNOWN,112129.43,41219.53,web,support,2025-04-28,true,0.8103,0,,corporate
100199,45.9,NSK,85646.03,5823.62,web,ops,2025-12-25,false,0.3486,0,документы на проверке,retail
100200,53.1,MSK,55454.31,8276.9,web,growth,2026-02-07,true,0.4726,0,заявка принята,retail
100201,47.6,EKB,,16133.62,web,support,2026-01-10,false,0.6285,0,документы на проверке,retail
100202,37.4,NSK,94684.83,8708.47,mobile,legal,2025-11-25,true,0.3318,0,клиент не отвечает,retail
2505,20.0,NSK,70297.34,16727.49,web,ml,2025-12-10,true,0.6144,0,повторное обращение,sme
100204,62.5,NSK,40216.11,5825.67,web,ops,2026-02-18,true,0.4514,0,документы на проверке,retail
100205,39.7,MSK,120516.08,5336.83,mobile,legal,2025-11-21,false,0.6517,0,клиент не отвечает,retail
100206,49.2,UNKNOWN,70904.75,8213.82,web,support,2025-01-10,true,0.7926,0,,corporate
100207,60.9,SPB,52260.95,1670.35,partner,ops,2024-12-15,false,0.3295,0,клиент не отвечает,retail
100208,46.4,MSK,,24283.52,mobile,legal,2026-03-23,true,0.7902,0,перевод в другой отдел,corporate
100209,28.4,EKB,49981.77,16431.86,web,sales,2026-02-02,false,0.5212,0,заявка принята,corporate
1384,47.7,SPB,73504.51,9077.92,web,ops,2024-12-17,true,0.3638,0,клиент не отвечает,corporate
100211,26.6,MSK,54637.44,7400.34,partner,sales,2025-03-15,false,0.6861,0,повторное обращение,sme
100212,58.5,NSK,,11838.31,mobile,ops,2025-11-12,false,0.7316,0,клиент не отвечает,corporate
100213,61.4,UNKNOWN,51552.52,54127.84,partner,sales,2025-11-25,false,0.2877,0,документы на проверке,corporate
100214,31.4,SPB,73759.49,17838.45,mobile,ml,2024-10-09,true,0.5586,0,перевод в другой отдел,corporate
100215,31.1,MSK,79469.41,8551.83,mobile,risk,2025-03-29,false,0.5907,0,документы на проверке,retail
100216,24.8,SPB,61226.95,7278.25,mobile,ml,2024-10-09,true,0.6057,0,повторное обращение,corporate
148,15.3,NSK,54331.9,9790.55,mobile,ml,2024-11-25,true,0.7874,0,,retail
100218,22.1,EKB,,26418.11,mobile,ops,2025-07-09,false,0.2841,0,документы на проверке,sme
100219,44.3,UNKNOWN,63368.18,3305.86,web,legal,2025-10-13,false,0.5815,0,повторное обращение,corporate
100220,62.5,OTHER_17,128426.61,10730.9,mobile,risk,2026-03-20,true,0.7797,0,документы на проверке,corporate
100221,41.0,OTHER_17,126080.65,8751.0,web,sales,2025-08-24,false,0.4462,0,заявка принята,sme
100222,38.7,NSK,100345.82,9906.63,offline,legal,2024-10-10,false,0.3269,0,повторное обращение,sme
100223,33.0,SPB,120845.27,7491.29,partner,ops,2025-10-21,true,0.3545,0,,sme
1798,34.1,SPB,108655.8,17172.15,offline,growth,2024-08-16,false,0.6795,0,повторное обращение,retail
100225,48.9,SPB,42702.11,16291.16,mobile,risk,2024-07-21,true,0.3475,0,заявка принята,retail
100226,50.7,OTHER_17,86158.07,4849.28,mobile,risk,2025-10-13,true,0.445,0,клиент не отвечает,corporate
100227,44.0,OTHER_17,92947.33,17938.85,web,ml,2025-01-25,true,0.138,0,перевод в другой отдел,sme
100228,37.7,MSK,64581.38,6439.59,mobile,ops,2025-06-19,true,0.2528,0,клиент не отвечает,corporate
100229,45.8,MSK,223727.55,2665.98,web,growth,2026-02-06,false,0.6563,0,перевод в другой отдел,sme
100230,40.5,NSK,104802.28,944.23,web,risk,2025-03-28,true,0.6965,0,,retail
2570,42.1,KZN,155010.27,4402.51,mobile,risk,2024-08-20,true,0.3947,0,документы на проверке,retail
100232,48.4,OTHER_17,,7568.98,partner,ops,2026-01-17,false,0.292,0,перевод в другой отдел,sme
100233,55.0,MSK,64124.88,2971.7,mobile,growth,2026-04-13,true,0.4901,0,повторное обращение,sme
100234,38.0,MSK,229579.12,3677.42,web,ops,2024-10-22,false,0.6991,0,документы на проверке,sme
100235,34.8,KZN,76045.91,6398.95,offline,growth,2024-11-21,true,0.741,0,документы на проверке,sme
100236,65.8,SPB,46567.9,5256.05,offline,ops,2025-06-17,true,0.283,0,,corporate
100237,25.0,KZN,,6425.39,web,support,2024-11-09,false,0.6182,0,повторное обращение,sme
1837,47.1,MSK,60942.66,6842.28,offline,ml,2025-07-09,true,0.5227,0,документы на проверке,corporate
100239,63.4,NSK,194961.8,1577.64,offline,ml,2026-01-10,false,0.7124,0,повторное обращение,sme
100240,23.1,NSK,35402.7,14462.91,web,sales,2025-03-09,true,0.2014,0,,retail
100241,32.7,UNKNOWN,128960.58,19876.13,web,risk,2025-11-25,false,0.5378,0,,corporate
100242,39.9,MSK,42809.93,9249.31,web,support,2024-11-05,false,0.332,0,документы на проверке,sme
100243,53.3,SPB,60077.44,13013.81,web,ops,2024-12-19,false,0.332,0,документы на проверке,retail
100244,34.8,MSK,110616.5,18654.35,partner,growth,2025-01-29,false,0.4853,0,перевод в другой отдел,retail
1126,43.5,NSK,18257.99,10653.17,mobile,risk,2025-12-28,true,0.4034,0,,retail
100246,39.1,UNKNOWN,34702.95,2919.71,web,ml,2024-08-21,true,0.8534,0,заявка принята,sme
100247,47.3,MSK,32779.96,3596.78,web,risk,2024-08-25,false,0.4229,0,повторное обращение,retail
100248,16.9,MSK,103128.54,6569.71,mobile,ops,2025-05-18,true,0.7224,0,клиент не отвечает,corporate
100249,30.2,MSK,36439.66,16176.98,web,sales,2025-12-19,false,0.7074,0,повторное обращение,sme
100250,48.2,SPB,58944.84,9927.34,mobile,legal,2024-10-15,false,0.3997,0,,corporate
100251,25.4,SPB,87693.98,11115.9,web,sales,2024-07-23,true,0.7653,0,заявка принята,corporate
608,40.9,NSK,,7917.03,partner,risk,2026-05-25,false,0.6957,0,перевод в другой отдел,retail
100253,24.3,MSK,55625.72,3447.63,web,ml,2025-08-14,false,0.7419,0,заявка принята,retail
100254,32.9,MSK,47565.83,4826.94,web,risk,2024-08-11,false,0.8974,0,повторное обращение,corporate
100255,29.4,UNKNOWN,15777.2,23813.82,mobile,support,2025-05-24,false,0.4759,0,заявка принята,retail
100256,42.1,SPB,59026.15,4838.67,web,legal,2026-06-02,true,0.9802,0,,sme
100257,14.5,NSK,18319.96,14468.34,mobile,risk,2025-03-22,true,0.4053,0,перевод в другой отдел,retail
100258,34.2,UNKNOWN,98934.52,10470.66,offline,risk,2024-07-31,false,0.4588,0,заявка принята,corporate
2087,38.7,SPB,,4578.57,partner,support,2025-12-09,true,0.524,0,клиент не отвечает,sme
100260,57.6,UNKNOWN,31465.47,1810.47,mobile,growth,2025-10-07,false,0.714,0,документы на проверке,retail
